"","0","1","p","test"
"n","18276849.2","4311920.2","",""
"skipMed = 1 (%)","0.0 (0.0)","2222249.2 (52.9)","<0.001",""
"delayMed = 1 (%)","0.0 (0.0)","2875838.6 (68.4)","<0.001",""
"lessMed = 1 (%)","0.0 (0.0)","2339466.4 (55.7)","<0.001",""
