"","0","1","p","test"
"n","23648633.3","3861770.7","",""
"BarrierMedR = 1 (%)","0.0 (0.0)","3412747.5 (88.4)","<0.001",""
"SmokeR (%)","","","<0.001",""
"   0","10718248.4 (45.5)","1449656.9 (37.6)","",""
"   1","8963503.3 (38.0)","1049201.6 (27.2)","",""
"   2","3896376.4 (16.5)","1355225.9 (35.2)","",""
