"","0","1","p","test"
"n","49886713.8","10364659.4","",""
"skipMed = 1 (%)","0.0 (0.0)","5371382.6 (53.6)","<0.001",""
"delayMed = 1 (%)","0.0 (0.0)","6854083.4 (68.4)","<0.001",""
"lessMed = 1 (%)","0.0 (0.0)","5652058.2 (56.4)","<0.001",""
